person_id,trip_id,age,female,distance,travel_mode
0,0,56,1,0.778,drive
0,1,56,1,0.778,drive
0,2,56,1,4.562,drive
0,3,56,1,4.562,drive
1,4,54,0,4.562,drive
1,5,54,0,4.562,drive
2,6,14,1,0.778,drive
2,7,14,1,0.778,drive
2,8,14,1,4.562,drive
2,9,14,1,4.562,drive
10,10,79,1,3.379,drive
10,11,79,1,3.379,drive
11,12,80,0,3.379,drive
11,13,80,0,3.379,drive
21,14,41,0,8.051,drive
21,15,41,0,8.56,drive
21,16,41,0,0.715,drive
31,17,32,1,1.901,pt
40,18,71,1,2.714,pt
40,19,71,1,2.714,pt
51,20,64,1,2.199,drive
51,21,64,1,2.199,drive
60,22,54,0,1.17,pt
60,23,54,0,0.699,walk
60,24,54,0,1.134,pt
70,25,49,1,0.472,walk
70,26,49,1,0.444,walk
71,27,51,0,15.995,drive
81,28,49,1,7.871,pt
81,29,49,1,7.648,pt
81,30,49,1,0.765,walk
81,31,49,1,0.521,walk
82,32,24,0,0.554,walk
82,33,24,0,2.863,drive
82,34,24,0,2.311,drive
90,35,50,0,1.828,drive
90,36,50,0,1.828,drive
91,37,11,1,1.828,drive
91,38,11,1,1.828,drive
92,39,10,1,1.828,drive
92,40,10,1,1.828,drive
93,41,9,1,1.828,drive
93,42,9,1,1.828,drive
100,43,21,1,3.02,pt
100,44,21,1,3.143,pt
110,45,78,1,0.534,walk
120,46,64,0,1.443,drive
120,47,64,0,7.835,drive
120,48,64,0,7.703,drive
120,49,64,0,1.274,drive
121,50,56,1,1.443,drive
121,51,56,1,7.835,drive
121,52,56,1,7.703,drive
121,53,56,1,1.274,drive
122,54,38,1,0.424,drive
122,55,38,1,0.424,drive
123,56,12,1,0.424,drive
123,57,12,1,0.424,drive
130,58,54,1,2.419,pt
130,59,54,1,2.395,pt
130,60,54,1,3.355,pt
130,61,54,1,3.355,drive
131,62,64,0,12.645,drive
131,63,64,0,12.645,drive
131,64,64,0,14.386,pt
131,65,64,0,14.47,pt
131,66,64,0,1.463,drive
131,67,64,0,3.355,drive
132,68,19,0,12.835,pt
132,69,19,0,12.835,drive
132,70,19,0,3.371,pt
132,71,19,0,3.371,pt
140,72,65,1,0.404,drive
140,73,65,1,0.446,drive
140,74,65,1,0.792,drive
140,75,65,1,0.792,drive
150,76,40,0,1.596,walk
150,77,40,0,1.193,walk
150,78,40,0,0.551,walk
160,79,74,0,14.278,pt
160,80,74,0,11.777,pt
160,81,74,0,2.702,pt
160,82,74,0,2.702,drive
160,83,74,0,2.702,drive
171,84,70,0,3.306,drive
171,85,70,0,3.306,drive
173,86,45,0,8.402,drive
173,87,45,0,8.402,drive
174,88,41,0,8.402,drive
174,89,41,0,8.402,drive
180,90,45,1,1.269,drive
180,91,45,1,1.269,drive
190,92,43,1,13.82,pt
190,93,43,1,13.82,pt
192,94,10,0,13.815,pt
192,95,10,0,13.815,pt
193,96,7,1,13.815,pt
193,97,7,1,13.815,pt
200,98,53,1,14.326,drive
200,99,53,1,14.326,drive
201,100,55,0,14.326,drive
201,101,55,0,14.326,drive
202,102,30,0,6.398,cycle
202,103,30,0,6.398,cycle
210,104,49,0,2.15,drive
210,105,49,0,2.15,drive
220,106,42,1,1.304,walk
220,107,42,1,18.756,pt
220,108,42,1,4.993,drive
221,109,42,0,1.304,walk
221,110,42,0,4.807,drive
221,111,42,0,4.807,drive
222,112,12,1,19.315,pt
222,113,12,1,5.077,drive
230,114,32,1,1.977,drive
231,115,44,0,1.977,drive
240,116,82,1,4.697,pt
240,117,82,1,4.749,pt
250,118,62,0,27.195,pt
250,119,62,0,27.195,pt
250,120,62,0,1.245,walk
250,121,62,0,1.245,walk
260,122,61,0,3.065,drive
260,123,61,0,1.424,drive
260,124,61,0,3.594,drive
260,125,61,0,0.961,drive
261,126,59,1,2.016,drive
261,127,59,1,2.016,drive
261,128,59,1,2.016,drive
261,129,59,1,3.347,drive
261,130,59,1,4.309,drive
270,131,79,0,15.832,pt
270,132,79,0,15.832,pt
271,133,71,1,15.832,pt
271,134,71,1,15.832,pt
280,135,84,0,0.83,drive
280,136,84,0,0.83,drive
280,137,84,0,6.811,drive
280,138,84,0,6.811,drive
290,139,62,0,6.161,pt
290,140,62,0,6.161,pt
291,141,54,1,6.161,pt
291,142,54,1,6.161,pt
292,143,34,1,8.362,drive
292,144,34,1,8.362,drive
300,145,34,1,4.718,pt
300,146,34,1,0.288,walk
300,147,34,1,4.899,pt
301,148,42,0,4.718,pt
301,149,42,0,0.288,walk
301,150,42,0,4.899,pt
310,151,32,0,3.032,cycle
310,152,32,0,3.032,cycle
310,153,32,0,2.099,walk
310,154,32,0,0.157,walk
310,155,32,0,2.099,walk
311,156,36,1,2.099,walk
311,157,36,1,0.157,walk
311,158,36,1,2.099,walk
320,159,76,1,1.043,pt
320,160,76,1,1.043,pt
320,161,76,1,3.676,pt
320,162,76,1,3.676,pt
330,163,31,1,4.045,pt
330,164,31,1,5.41,pt
330,165,31,1,3.647,pt
340,166,87,1,1.38,drive
350,167,70,0,0.425,walk
360,168,35,1,4.37,pt
360,169,35,1,0.48,walk
360,170,35,1,4.844,pt
370,171,16,1,3.654,pt
370,172,16,1,3.654,pt
371,173,50,1,2.685,cycle
371,174,50,1,0.96,drive
371,175,50,1,3.264,drive
380,176,35,1,5.318,pt
380,177,35,1,5.318,pt
391,178,43,0,11.289,drive
391,179,43,0,11.289,drive
400,180,55,1,12.627,drive
400,181,55,1,12.627,drive
401,182,58,0,12.627,drive
401,183,58,0,12.627,drive
410,184,62,1,2.323,pt
410,185,62,1,2.392,pt
